id,source,target,status_code,owner_layer,source_type,editable,rule_type,notes_reason,active,created_at,updated_at,backing_type,backing_ref,read_only_reason,match_type,priority
32451a7c-a596-4418-ad02-eadd59da2456,/blog/topic/unsolved-mysteries,/topics/mysteries-unexplained,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:32451a7c-a596-4418-ad02-eadd59da2456,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
d9ae1d29-849a-4eb9-a77a-9ae874bc2dd7,/blog/topic/wrongful-convictions,/topics/true-crime,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:d9ae1d29-849a-4eb9-a77a-9ae874bc2dd7,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
54a86a16-8536-46e7-a4be-9319a0149da2,/cases,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:54a86a16-8536-46e7-a4be-9319a0149da2,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
2850c9ec-2d3d-4413-856c-81c8d28ad770,/collections/american-cases,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:2850c9ec-2d3d-4413-856c-81c8d28ad770,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
3aad9f3b-6abe-442c-b332-733032c0c317,/collections/frauds-hoaxes-cons,/topics/scams-hoaxes-cons,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:3aad9f3b-6abe-442c-b332-733032c0c317,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
6b5e2327-96cd-434b-bec5-2eb15936b7b7,/collections/international-cases,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:6b5e2327-96cd-434b-bec5-2eb15936b7b7,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
12e5986c-6f37-4318-af14-77a21aa028a4,/collections/music-fame-pop-culture,/topics/pop-culture-entertainment,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:12e5986c-6f37-4318-af14-77a21aa028a4,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
ff7b43b9-7197-470f-afec-a7316967ff91,/collections/survival-stories,/topics/disasters-survival,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:ff7b43b9-7197-470f-afec-a7316967ff91,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
afcf49d2-05a0-4bf6-9821-a09a97559d5d,/events,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:afcf49d2-05a0-4bf6-9821-a09a97559d5d,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
7fb0bbe8-b493-4979-9a8d-be20d833ac9f,/people,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:7fb0bbe8-b493-4979-9a8d-be20d833ac9f,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
4d86499b-5505-4dc1-91b2-87a940f5cbb3,/series,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:4d86499b-5505-4dc1-91b2-87a940f5cbb3,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
e56f92f3-98d2-4aa2-a04e-cac5069c18b2,/series/amanda-knox-meredith-kercher,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:e56f92f3-98d2-4aa2-a04e-cac5069c18b2,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
45329978-fe96-4088-ad99-5703685e8377,/series/emanuela-orlandi,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:45329978-fe96-4088-ad99-5703685e8377,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
2a4d6729-0776-4cc6-a028-0c893c5b3f9d,/series/princess-diana,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:2a4d6729-0776-4cc6-a028-0c893c5b3f9d,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
69f381bd-bc31-477c-afcb-e72464d6cd94,/series/titanic,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:69f381bd-bc31-477c-afcb-e72464d6cd94,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
