source_path,still_resolves,full_chain,final_url,final_status,expected_targets,result
/podcast/the-compendium-of-fascinating-things/episode/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal | 200 https://www.thecompendiumpodcast.com/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,https://www.thecompendiumpodcast.com/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,200,/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,correct
/podcast/the-compendium-of-fascinating-things/episode/elizabeth-smart-kidnapped-by-a-prophet,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/elizabeth-smart-kidnapped-by-a-prophet | 200 https://www.thecompendiumpodcast.com/episodes/elizabeth-smart-kidnapped-by-a-prophet,https://www.thecompendiumpodcast.com/episodes/elizabeth-smart-kidnapped-by-a-prophet,200,/episodes/elizabeth-smart-kidnapped-by-a-prophet,correct
/podcast/the-compendium-of-fascinating-things/episode/exploring-bigfoot-a-myth-or-reality,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/exploring-bigfoot-a-myth-or-reality | 200 https://www.thecompendiumpodcast.com/episodes/exploring-bigfoot-a-myth-or-reality,https://www.thecompendiumpodcast.com/episodes/exploring-bigfoot-a-myth-or-reality,200,/episodes/exploring-bigfoot-a-myth-or-reality,correct
/podcast/the-compendium-of-fascinating-things/episode/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon | 200 https://www.thecompendiumpodcast.com/episodes/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,https://www.thecompendiumpodcast.com/episodes/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,200,/episodes/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,correct
/podcast/the-compendium-of-fascinating-things/episode/fyre-festival-the-greatest-party-that-never-happened,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/fyre-festival-the-greatest-party-that-never-happened | 200 https://www.thecompendiumpodcast.com/episodes/fyre-festival-the-greatest-party-that-never-happened,https://www.thecompendiumpodcast.com/episodes/fyre-festival-the-greatest-party-that-never-happened,200,/episodes/fyre-festival-the-greatest-party-that-never-happened,correct
/podcast/the-compendium-of-fascinating-things/episode/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night | 200 https://www.thecompendiumpodcast.com/episodes/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,https://www.thecompendiumpodcast.com/episodes/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,200,/episodes/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,correct
/podcast/the-compendium-of-fascinating-things/episode/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion | 200 https://www.thecompendiumpodcast.com/episodes/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,https://www.thecompendiumpodcast.com/episodes/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,200,/episodes/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,correct
/podcast/the-compendium-of-fascinating-things/episode/hillside-strangler-murder-in-the-shadows-of-los-angeles,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/hillside-strangler-murder-in-the-shadows-of-los-angeles | 200 https://www.thecompendiumpodcast.com/episodes/hillside-strangler-murder-in-the-shadows-of-los-angeles,https://www.thecompendiumpodcast.com/episodes/hillside-strangler-murder-in-the-shadows-of-los-angeles,200,/episodes/hillside-strangler-murder-in-the-shadows-of-los-angeles,correct
/podcast/the-compendium-of-fascinating-things/episode/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished | 200 https://www.thecompendiumpodcast.com/episodes/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished,https://www.thecompendiumpodcast.com/episodes/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished,200,/episodes/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished,correct
/podcast/the-compendium-of-fascinating-things/episode/house-of-gucci-a-tale-of-glamour-greed-and-grudges,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/house-of-gucci-a-tale-of-glamour-greed-and-grudges | 200 https://www.thecompendiumpodcast.com/episodes/house-of-gucci-a-tale-of-glamour-greed-and-grudges,https://www.thecompendiumpodcast.com/episodes/house-of-gucci-a-tale-of-glamour-greed-and-grudges,200,/episodes/house-of-gucci-a-tale-of-glamour-greed-and-grudges,correct
/podcast/the-compendium-of-fascinating-things/episode/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige | 200 https://www.thecompendiumpodcast.com/episodes/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige,https://www.thecompendiumpodcast.com/episodes/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige,200,/episodes/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige,correct
/podcast/the-compendium-of-fascinating-things/episode/jennifer-fairgate-the-woman-with-no-past,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/jennifer-fairgate-the-woman-with-no-past | 200 https://www.thecompendiumpodcast.com/episodes/jennifer-fairgate-the-woman-with-no-past,https://www.thecompendiumpodcast.com/episodes/jennifer-fairgate-the-woman-with-no-past,200,/episodes/jennifer-fairgate-the-woman-with-no-past,correct
/podcast/the-compendium-of-fascinating-things/episode/jt-leroy-gender-deception-and-the-ultimate-hoax,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/jt-leroy-gender-deception-and-the-ultimate-hoax | 200 https://www.thecompendiumpodcast.com/episodes/jt-leroy-gender-deception-and-the-ultimate-hoax,https://www.thecompendiumpodcast.com/episodes/jt-leroy-gender-deception-and-the-ultimate-hoax,200,/episodes/jt-leroy-gender-deception-and-the-ultimate-hoax,correct
