source_path,target_url,status_code,match_type,is_active,priority,source_type,source_ref,created_at,updated_at
/podcast/the-compendium-of-fascinating-things/episode/annabelle-at-the-winchesters-a-monster-mashup-of-two-spooky-stories,/episodes/annabelle-doll-and-the-winchester-mystery-house,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/anni-dewani-honeymoon-murder-and-the-corruption-at-the-heart-of-south-africa,/episodes/anni-dewani-honeymoon-murder-and-the-corruption-at-the-heart-of-south-africa,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/ariel-castro-abducted-in-plain-sight,/episodes/ariel-castro-abducted-in-plain-sight,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/baby-jessica-the-girl-who-fell-down-a-well-and-changed-news-forever,/episodes/baby-jessica-the-girl-who-fell-down-a-well-and-changed-news-forever,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/balloon-boy-hoax-the-viral-media-circus-that-spiraled-out-of-control,/episodes/balloon-boy-hoax-the-viral-media-circus-that-spiraled-out-of-control,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/balloonfest-clevelands-1986-float-tastrophe-of-epic-proportions,/episodes/balloonfest-clevelands-1986-float-tastrophe-of-epic-proportions,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/belle-gibson-how-a-fake-cancer-story-created-a-wellness-empire,/episodes/belle-gibson-the-fake-cancer-survivor-who-built-a-wellness-empire,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/billion-dollar-banquet-how-one-extravagant-party-sparked-the-iranian-revolution,/episodes/billion-dollar-banquet-how-one-extravagant-party-sparked-the-iranian-revolution,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/billionaire-boys-club-greed-murder-and-high-society-crimes,/episodes/billionaire-boys-club-greed-murder-and-high-society-crimes,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/blood-brothers-the-lyle-and-erik-menendez-story,/episodes/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test,/episodes/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer,/episodes/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/bone-wars-the-rivalry-that-rewrote-dinosaur-history,/episodes/bone-wars-the-rivalry-that-rewrote-dinosaur-history,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/cassie-chadwick-carnegies-imaginary-heir-queen-of-the-con,/episodes/cassie-chadwick-carnegie-s-imaginary-heir-queen-of-the-con,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished,/episodes/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal,/episodes/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/cocaine-queen-the-rise-and-fall-of-griselda-blanco,/episodes/cocaine-queen-the-rise-and-fall-of-griselda-blanco,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/db-cooper-the-man-the-myth-the-unresolved-hijacking,/episodes/db-cooper-the-man-the-myth-the-unresolved-hijacking,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/db-tuber-the-most-ridiculous-robbery-in-american-history,/episodes/d-b-tuber-the-most-ridiculous-robbery-in-american-history,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/dirty-pops-lou-pearlman-boy-bands-and-big-scams,/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/dolly-parton-the-legend-behind-the-rhinestones,/episodes/dolly-parton-the-legend-behind-the-rhinestones,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/ed-gein-monster-murderer-and-the-real-story-behind-hollywoods-nightmares,/episodes/ed-gein-monster-murderer-and-the-real-story-behind-hollywood-s-nightmares,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/elizabeth-holmes-silicon-valleys-greatest-fraud,/episodes/elizabeth-holmes-silicon-valley-s-greatest-fraud,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/elizabeth-smart-kidnapped-by-a-prophet,/episodes/elizabeth-smart-kidnapped-by-a-prophet,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
