source_path,target_url,expected_target,reason_classification,status_code,match_type,priority,created_at,updated_at
/podcast/the-compendium-of-fascinating-things/episode/elizabeth-holmes-silicon-valleys-greatest-fraud,/episodes/elizabeth-holmes-silicon-valley-s-greatest-fraud,/episodes/elizabeth-holmes-silicon-valleys-greatest-fraud,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gabby-petito-a-van-life-dream-that-ended-in-tragedy,/episodes/gabby-petito-the-van-life-dream-that-ended-in-tragedy,/episodes/gabby-petito-a-van-life-dream-that-ended-in-tragedy,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,/episodes/gunther-s-millions-the-unbelievable-story-and-scam-behind-the-world-s-richest-dog,/episodes/gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/heavens-gate-cult-between-devotion-and-delusion,/episodes/heaven-s-gate-cult-between-devotion-and-delusion,/episodes/heavens-gate-cult-between-devotion-and-delusion,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/helter-skelter-how-a-beatles-song-led-to-the-manson-murders,/episodes/chaos-charles-manson-and-the-manson-murders,/episodes/helter-skelter-how-a-beatles-song-led-to-the-manson-murders,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/imelda-marcos-corruption-power-6000-pairs-of-shoes,/episodes/imelda-marcos-corruption-power-6-000-pairs-of-shoes,/episodes/imelda-marcos-corruption-power-6000-pairs-of-shoes,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/jerry-springer-behind-the-scenes-of-tvs-most-famous-fights,/episodes/jerry-springer-behind-the-scenes-of-tv-s-most-famous-fights,/episodes/jerry-springer-behind-the-scenes-of-tvs-most-famous-fights,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/julie-daubigny-feminist-icon-defying-17th-century-gender-norms,/episodes/julie-d-aubigny-the-sword-fighting-opera-singing-kick-ass-feminist-of-the-17th-century,/episodes/julie-daubigny-feminist-icon-defying-17th-century-gender-norms,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/last-breath-the-true-story-of-chris-lemmons-near-death-experience-in-the-north-sea,/episodes/last-breath-the-true-story-of-chris-lemons-near-death-experience-in-the-north-sea,/episodes/last-breath-the-true-story-of-chris-lemmons-near-death-experience-in-the-north-sea,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/lindy-chamberlain-the-dingo-the-baby-and-a-nations-shock,/episodes/lindy-chamberlain-the-dingo-the-baby-and-a-nation-s-shock,/episodes/lindy-chamberlain-the-dingo-the-baby-and-a-nations-shock,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
